layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,30,70,14112,89
1,bot3,3,97,9282,43
2,bot3,1,99,1066,30
3,bot3,9,91,18956,61
4,bot3,3,97,4035,67
5,bot3,7,93,11963,50
6,bot3,14,86,27876,65
7,bot3,13,87,6834,73
8,bot3,1,99,937,45
9,bot3,4,96,3234,61
0,bot4,24,76,17342,100
0,bot5,76,24,46134,167
1,bot4,9,91,8675,37
1,bot5,76,24,32176,173
2,bot4,25,75,26261,100
2,bot5,78,22,30172,169
3,bot4,27,73,11900,92
3,bot5,77,23,28123,168
4,bot4,8,92,19843,71
4,bot5,76,24,27757,171
5,bot4,27,73,18194,81
5,bot5,79,21,32278,175
6,bot4,32,68,28459,97
6,bot5,79,21,29937,175
7,bot4,21,79,14117,67
7,bot5,75,25,25648,165
8,bot4,31,69,35295,87
8,bot5,74,26,49297,162
9,bot4,15,85,18407,76
9,bot5,72,28,25737,158
